neuron,t
4020,14.3262
2959,14.3256
589,14.3355
7001,14.3385
2604,14.335
9888,14.341
7519,14.3611
2668,14.338
544,14.3382
5598,14.3675
9672,14.3826
414,14.3505
6981,14.3518
3963,14.3518
5801,14.3352
2606,14.3541
4271,14.3382
764,14.3437
1529,14.3459
6267,14.3626
1933,14.3439
8950,14.3521
8602,14.3826
6753,14.3487
6702,14.3443
6099,14.343
5455,14.3637
4679,14.3403
4577,14.359
3488,14.3584
3891,14.4173
6998,14.343
5205,14.3869
4246,14.3457
7658,14.3419
9419,14.3611
601,14.3445
9889,14.3518
8707,14.3568
7499,14.3505
5998,14.3611
4162,14.3801
3042,14.3743
150,14.3484
4658,14.3565
6341,14.4013
808,14.3569
5159,14.3711
2150,14.3801
9331,14.3508
2102,14.3534
2022,14.374
3731,14.3522
1624,14.3618
6323,14.3831
5866,14.3892
2280,14.3603
5863,14.3675
6177,14.3675
2694,14.3801
6214,14.3518
9085,14.353
9753,14.3612
7256,14.3826
9158,14.374
8768,14.3548
8731,14.3602
8019,14.374
7981,14.3563
5655,14.3627
4830,14.3801
4812,14.374
4392,14.37
4232,14.3761
3077,14.3801
2656,14.3611
2059,14.3595
2011,14.3826
2823,14.3701
525,14.3611
2566,14.3707
8622,14.398
9607,14.3801
7729,14.358
6248,14.4039
6552,14.3711
9675,14.3561
2998,14.3569
1552,14.398
9284,14.3675
5496,14.366
4698,14.3808
432,14.3728
5150,14.3675
296,14.3611
9081,14.3611
4713,14.3801
1449,14.3611
6231,14.372
4595,14.3675
3356,14.3708
2345,14.3801
1350,14.3838
392,14.3704
2153,14.3675
6458,14.374
7934,14.3675
4076,14.3988
4546,14.3801
6679,14.3801
3409,14.3639
8635,14.3645
3412,14.3675
661,14.3801
1268,14.4173
8016,14.3862
7192,14.3801
3417,14.3954
1978,14.398
1961,14.3832
501,14.3757
8764,14.3788
7147,14.3826
8510,14.3743
7882,14.3954
6735,14.4231
5590,14.3894
7284,14.374
9262,14.4169
461,14.3854
529,14.374
7460,14.3756
6673,14.3832
5533,14.3744
4547,14.3826
3414,14.4009
3289,14.378
3232,14.3956
2626,14.3908
2051,14.3826
1781,14.3801
1380,14.4106
1010,14.3788
485,14.4066
9562,14.4573
4716,14.4025
7340,14.4073
2160,14.3804
1221,14.3843
7173,14.3791
4368,14.4406
1330,14.382
8164,14.3826
4073,14.398
6721,14.4173
5762,14.398
3472,14.3826
2357,14.4195
1050,14.4045
2973,14.4484
1838,14.398
1843,14.401
7349,14.4298
285,14.3826
6886,14.3833
4983,14.3892
1702,14.3911
7850,14.4016
7143,14.398
4857,14.398
3250,14.3886
1644,14.4715
1266,14.4034
1200,14.3995
197,14.4319
188,14.3926
4591,14.398
511,14.391
5629,14.4298
2961,14.3863
449,14.3851
3969,14.3868
4899,14.398
939,14.393
7229,14.3996
5637,14.3895
9683,14.4587
8560,14.4306
2500,14.398
9823,14.3917
8830,14.398
1805,14.398
7853,14.4173
6094,14.3911
7634,14.441
6509,14.398
18,14.398
8166,14.397
7396,14.4444
2762,14.398
2964,14.4031
3775,14.4265
4970,14.408
2638,14.3947
6831,14.4173
7430,14.398
7425,14.398
931,14.3967
748,14.3975
594,14.4518
4986,14.4446
1145,14.4044
3911,14.4017
3821,14.4111
4869,14.4023
2470,14.398
6833,14.398
8401,14.4245
8314,14.4011
8208,14.4756
6908,14.4405
3112,14.4058
2412,14.413
2138,14.4052
1849,14.431
1775,14.4125
7804,14.4084
3353,14.4297
8122,14.4137
4167,14.4156
2908,14.4173
8191,14.4102
6759,14.4064
9988,14.4091
3064,14.4163
2868,14.4384
4268,14.405
8390,14.4116
4047,14.4638
8683,14.4573
1123,14.4587
5814,14.4136
868,14.4385
7454,14.4173
2454,14.451
2939,14.4173
7789,14.4078
4170,14.4082
7951,14.4166
194,14.4114
7064,14.4573
2259,14.4234
6501,14.4231
9910,14.439
4245,14.4192
4405,14.4571
154,14.4173
740,14.4231
4373,14.4159
9979,14.4163
5058,14.4173
1952,14.4232
2969,14.4173
387,14.4182
6597,14.4188
3523,14.446
9775,14.4231
1836,14.4231
6377,14.457
5844,14.4228
4600,14.4594
3411,14.4239
2137,14.4289
1530,14.4573
492,14.4409
3993,14.4385
766,14.484
2019,14.4244
6772,14.4361
9845,14.4399
2063,14.4231
7429,14.4444
7694,14.4304
5417,14.4315
8977,14.4374
3833,14.4674
9283,14.4482
9359,14.4573
8556,14.428
7820,14.4256
4534,14.4457
4515,14.4587
4464,14.4751
4064,14.4278
3678,14.4344
3618,14.4573
1127,14.4325
124,14.434
4753,14.4698
6902,14.479
221,14.4494
4507,14.4325
9718,14.4837
7851,14.4484
3285,14.4547
5763,14.4607
6,14.4789
5387,14.4698
2985,14.4389
8178,14.4614
2090,14.4502
9575,14.4407
8137,14.4667
2337,14.5048
4274,14.4346
7359,14.4652
7205,14.459
9872,14.4375
8780,14.4375
9716,14.4587
70,14.4503
8742,14.4619
7395,14.439
5218,14.4741
6794,14.453
9165,14.4544
9346,14.4439
290,14.468
7803,14.4574
8711,14.4756
9834,14.4409
816,14.4573
8912,14.4573
4320,14.4631
2665,14.4494
8055,14.4697
4308,14.444
5292,14.4462
2152,14.4992
1448,14.4457
8784,14.4488
1715,14.4887
2818,14.4552
4398,14.4575
7655,14.4766
1639,14.4587
5963,14.4837
4633,14.4698
9640,14.4556
8999,14.4541
3039,14.4542
9327,14.4524
8433,14.4573
4334,14.4533
3804,14.4564
8058,14.4586
3025,14.4573
8196,14.4605
7861,14.5397
76,14.4737
6857,14.4963
4821,14.4751
943,14.4584
3347,14.4573
7490,14.4587
2619,14.4678
9795,14.4879
9017,14.4759
7228,14.4647
6438,14.4737
6070,14.4911
5733,14.4604
5312,14.4583
3527,14.4734
2495,14.484
2135,14.4703
1728,14.4617
1369,14.4587
7450,14.4688
2230,14.4644
8061,14.4756
9652,14.4636
8871,14.484
8221,14.4698
7932,14.4866
7667,14.462
6041,14.4964
5566,14.4839
5054,14.47
4093,14.4713
675,14.484
8076,14.4837
4990,14.4698
3625,14.484
9287,14.463
9788,14.4684
9450,14.4734
4279,14.4756
478,14.4802
8569,14.484
2809,14.465
4439,14.483
9918,14.4735
8123,14.5075
2377,14.4698
2206,14.484
947,14.4733
8532,14.4756
6305,14.4701
2609,14.5063
9188,14.4816
2684,14.4905
